,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tamiahua,3,ZA,1584478230,90,-34.42,19.23,66.0,1.99
1,tamiahua,100,AR,1584478231,77,-38.0,-57.56,70.0,6.93
2,tamiahua,75,AR,1584478232,50,-54.8,-68.3,55.4,3.36
3,tamiahua,40,PT,1584477996,63,32.67,-17.1,60.8,17.22
4,tamiahua,0,AU,1584477975,31,-25.24,130.99,77.0,5.82
5,tamiahua,75,AU,1584478166,87,-33.87,121.9,60.8,5.82
6,tamiahua,3,NZ,1584478236,96,-46.19,168.86,44.01,3.0
7,tamiahua,90,RE,1584478238,94,-21.34,55.48,75.2,8.05
8,tamiahua,75,NU,1584478239,79,-19.06,-169.92,84.2,8.05
9,tamiahua,100,AU,1584477992,52,-42.78,147.06,68.0,9.17
10,tamiahua,100,BR,1584478241,60,-0.13,-67.09,89.87,1.79
11,tamiahua,20,HK,1584478211,73,22.29,114.16,70.0,9.17
12,tamiahua,90,CA,1584478243,65,66.15,-65.71,8.6,17.22
13,tamiahua,92,MV,1584478182,75,-0.6,73.08,84.65,12.41
14,tamiahua,0,CN,1584478245,86,25.7,100.18,44.15,3.42
15,tamiahua,0,ZA,1584477950,64,-34.0,24.73,66.29,6.15
16,tamiahua,90,US,1584478204,75,43.21,-75.46,46.0,8.05
17,tamiahua,0,ZA,1584478248,82,-33.01,17.94,62.6,8.05
18,tamiahua,27,BR,1584478249,73,-7.71,-66.98,83.75,4.36
19,tamiahua,20,MU,1584478250,94,-20.34,57.76,75.2,2.24
20,tamiahua,90,US,1584478252,100,22.08,-159.32,69.8,8.05
21,tamiahua,100,PG,1584478253,75,-2.57,150.8,83.03,12.35
22,tamiahua,91,PF,1584478190,71,-16.7,-151.02,83.03,8.52
23,tamiahua,99,KZ,1584478255,61,45.32,55.2,40.55,7.54
24,tamiahua,75,US,1584478256,65,41.15,-82.55,48.0,10.36
25,tamiahua,6,PF,1584478257,79,-23.12,-134.97,80.51,14.43
26,tamiahua,75,BR,1584478258,83,-22.97,-42.03,78.8,3.36
27,tamiahua,47,ZA,1584478174,96,-33.59,26.89,68.0,5.99
28,tamiahua,75,NO,1584478261,85,71.04,27.85,24.8,1.12
29,tamiahua,2,PF,1584478262,74,-9.8,-139.03,82.49,9.64
30,tamiahua,75,TR,1584478263,87,37.06,37.38,48.2,10.29
31,tamiahua,90,TO,1584478039,94,-21.2,-175.2,77.0,12.75
